school,Private,Accept.pct,Elite10,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Ithaca College,Yes,0.761261882,0,5612,166,14424,6192,634,1000,58,79,11.5,25,9812,75
James Madison University,No,0.470907957,0,9652,742,7994,4544,500,732,77,81,17.9,29,5212,98
Jamestown College,Yes,0.868644068,0,9950,71,7620,3050,400,400,51,53,17,21,3186,54
Jersey City State College,No,0.481230977,0,3817,1394,3946,4800,400,1500,63,67,14.9,10,8367,26
John Brown University,Yes,0.669421488,0,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75
John Carroll University,Yes,0.871127633,0,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89
Johns Hopkins University,Yes,0.406655653,1,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90
Johnson State College,No,0.803121248,0,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36
Judson College,Yes,0.728434505,0,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56
Juniata College,Yes,0.854726368,0,1075,43,14850,4460,450,420,97,97,12.7,37,12067,80
Kansas State University,No,0.693027211,0,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54
Kansas Wesleyan University,Yes,0.9762309,0,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68
Keene State College,No,0.783723166,0,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61
Kentucky Wesleyan College,Yes,0.851027397,0,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62
Kenyon College,Yes,0.695298373,0,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88
Keuka College,Yes,0.826464208,0,738,55,9600,4550,600,750,55,94,13.3,43,7863,51
King's College,Yes,0.723214286,0,500,541,10910,5160,400,1795,66,72,15.6,37,7649,87
King College,Yes,0.845070423,0,509,44,8664,3350,600,3000,65,68,10.7,25,8954,65
Knox College,Yes,0.8125,0,967,24,15747,4062,400,800,88,95,12.7,33,13224,79
La Roche College,Yes,0.889196676,0,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52
La Salle University,Yes,0.62615227,0,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84
Lafayette College,Yes,0.599002494,0,2018,226,18730,5740,600,1000,93,96,10.5,38,15365,92
LaGrange College,Yes,0.733455882,0,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75
Lake Forest College,Yes,0.651685393,0,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77
Lakeland College,Yes,0.90945674,0,887,1957,9400,4005,500,1000,49,65,17.2,25,4054,57
Lamar University,No,0.738441781,0,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26
Lambuth University,Yes,0.647412756,0,840,325,5170,3430,600,1590,61,61,16.1,10,5531,60
Lander University,No,0.86535163,0,2074,341,4938,2987,528,1702,67,77,17,11,6119,51
Lawrence University,Yes,0.761866452,0,1129,74,17163,3891,525,975,76,92,10.1,57,13965,77
Le Moyne College,Yes,0.815646259,0,1820,558,11040,4840,400,900,89,92,13.3,28,8118,94
Lebanon Valley College,Yes,0.764790765,0,965,502,13850,4755,400,1125,84,84,12.3,30,8196,85
Lehigh University,Yes,0.672815382,0,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91
Lenoir-Rhyne College,Yes,0.758937692,0,1188,166,10100,4000,400,1000,88,92,12,20,8539,66
Lesley College,Yes,0.81147541,0,1134,336,11700,5300,550,805,71,88,27.8,18,8694,58
LeTourneau University,Yes,0.874213836,0,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56
Lewis and Clark College,Yes,0.754145638,0,1763,59,15800,4790,450,950,97,98,12.3,21,12999,69
Lewis University,Yes,0.909878683,0,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61
Lincoln Memorial University,Yes,0.714104193,0,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53
Lincoln University,No,0.657228916,0,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45
Lindenwood College,Yes,0.597530864,0,2155,191,9200,4800,1000,4200,65,85,24.1,9,3480,100
Linfield College,Yes,0.761050609,0,1548,840,13380,4210,500,900,89,91,17.8,34,8747,81
Livingstone College,Yes,0.525555556,0,621,11,4400,3400,800,900,53,93,10.4,16,9268,92
Lock Haven University of Pennsylvania,No,0.620448179,0,3390,325,7352,3620,225,500,47,55,16.1,14,6374,63
Longwood College,No,0.680742628,0,2874,118,7920,3962,550,2200,74,80,18.4,23,5553,62
Loras College,Yes,0.781840341,0,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70
Louisiana College,Yes,0.523099851,0,912,158,5150,3036,500,1655,64,74,10.5,11,7547,59
Louisiana State University at Baton Rouge,No,0.832721815,0,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,37
Louisiana Tech University,No,0.894451398,0,6720,1822,3957,2325,618,1656,66,77,20,13,4546,45
Loyola College,Yes,0.769627085,0,3010,184,12990,6300,600,900,86,88,14.7,27,9448,80
Loyola Marymount University,Yes,0.706475584,0,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84
Loyola University,Yes,0.897937599,0,2740,761,11100,5870,600,750,77,88,11.7,14,9456,53
Loyola University Chicago,Yes,0.826767253,0,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65
Luther College,Yes,0.898644287,0,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77
Lycoming College,Yes,0.781493002,0,1363,74,13900,4300,500,900,75,81,14,32,8024,72
Lynchburg College,Yes,0.854214123,0,1524,280,12450,5400,450,870,62,66,12.4,24,8832,70
Lyndon State College,No,0.938317757,0,959,150,7320,4640,500,600,48,65,12.6,15,7114,51
Macalester College,Yes,0.509016672,1,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77
MacMurray College,Yes,0.754054054,0,628,63,9620,3750,550,950,49,55,10.8,33,10642,59
Malone College,Yes,0.867276888,0,1605,246,9858,3700,450,1200,42,45,17.6,16,4796,55
Manchester College,Yes,0.798804781,0,909,51,10440,3850,525,1450,63,72,11.8,20,7940,64
Manhattan College,Yes,0.711348684,0,2578,254,12370,6800,500,1800,92,92,13.6,25,10062,79
Manhattanville College,Yes,0.77962578,0,830,150,14700,6550,450,400,97,97,11.3,24,11291,70
Mankato State University,No,0.869508623,0,9649,1792,4300,2643,450,1660,57,68,19,11,5801,68
Marian College of Fond du Lac,Yes,0.813106796,0,1160,653,9400,3400,500,1100,37,37,8.4,21,5352,59
Marietta College,Yes,0.595903166,0,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96
Marist College,Yes,0.670259987,0,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69
Marquette University,Yes,0.892857143,0,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,77
Marshall University,Yes,0.867486985,0,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50
Mary Baldwin College,Yes,0.883767535,0,846,377,11200,7400,600,1300,66,79,6.8,50,10819,90
Mary Washington College,No,0.500689655,0,2997,736,6490,4942,650,2102,75,80,17.6,30,5358,84
Marymount College Tarrytown,Yes,0.684100418,0,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77
Marymount Manhattan College,Yes,0.769784173,0,988,785,10200,7000,350,1100,63,76,11.7,20,10622,68
Marymount University,Yes,0.820403826,0,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55
Maryville College,Yes,0.606557377,0,624,128,11200,4208,500,1642,80,90,11.1,43,8317,51
Maryville University,Yes,0.723132969,0,1343,1751,9250,4550,425,1350,52,58,13.1,13,5925,61
Marywood College,Yes,0.775971093,0,1452,402,11040,4500,600,700,65,76,11.8,30,9034,66
Massachusetts Institute of Technology,Yes,0.333801279,1,4481,28,20100,5975,725,1600,99,99,10.1,35,33541,94
Mayville State University,No,1,0,658,58,4486,2516,600,1900,68,68,15.7,11,6971,51
McKendree College,Yes,0.553892216,0,836,684,7680,3740,500,800,70,74,17.7,21,6652,52
McMurry University,Yes,0.711072664,0,880,477,6930,3452,400,1525,57,64,11,11,6383,32
McPherson College,Yes,0.697619048,0,336,80,7950,3750,600,2740,54,54,9.8,45,9754,48
Mercer University,Yes,0.729658793,0,2943,1260,11985,4081,400,1500,93,95,9.2,15,8995,91
Mercyhurst College,Yes,0.689788054,0,1805,433,9813,4050,425,1000,45,63,16.7,29,7307,78
Meredith College,Yes,0.900816803,0,1721,470,6720,3250,450,1520,77,82,13.9,33,6881,82
Merrimack College,Yes,0.777889955,0,1927,1084,12500,6200,375,1000,73,75,16.8,22,8707,80
Mesa State College,No,0.919191919,0,3471,911,5016,3798,540,2256,48,48,28.8,12,3871,59
Messiah College,Yes,0.793340987,0,2258,53,10300,5080,475,1200,68,75,14.1,30,7762,89
Miami University at Oxford,No,0.842948371,0,13606,807,8856,3960,500,1382,81,89,17.6,20,7846,85
Michigan State University,No,0.833388539,0,26640,4120,10658,3734,504,600,93,95,14,9,10520,71
Michigan Technological University,No,0.87394958,0,5524,414,8127,3978,900,1200,82,82,17,25,7473,65
MidAmerica Nazarene College,Yes,1,0,1100,166,6840,3720,1100,4913,33,33,15.4,20,5524,49
Millersville University of Penn.,No,0.511562136,0,5146,1532,7844,3830,450,1258,72,74,16.8,20,7832,71
Milligan College,Yes,0.755737705,0,685,49,8200,3300,550,1000,63,69,12,16,8128,64
Millikin University,Yes,0.873268698,0,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75
Millsaps College,Yes,0.921546961,0,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58
Milwaukee School of Engineering,Yes,0.894001643,0,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67
Mississippi College,Yes,0.648148148,0,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61
Mississippi State University,No,0.770152761,0,10094,1621,9866,3084,480,1479,77,77,15.9,20,6223,53
Mississippi University for Women,No,0.84375,0,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63
Missouri Southern State College,No,0.841370558,0,3689,2200,3840,2852,200,400,52,54,20.3,9,4172,100
Missouri Valley College,Yes,0.750381679,0,1057,175,8550,5050,400,900,35,67,17.4,16,4333,27
Monmouth College IL,Yes,0.836938436,0,671,11,13000,4100,400,460,91,91,11.6,43,11087,56
Monmouth College,Yes,0.694865164,0,1893,847,12480,5290,530,1740,70,85,14.2,15,9492,54
Montana College of Mineral Sci. & Tech.,No,0.951048951,0,1470,416,6073,3400,550,1400,71,71,16.4,31,6112,74
Montana State University,No,0.810285714,0,8730,993,5552,3710,550,2300,75,83,17.6,8,6324,37
Montclair State University,No,0.407662835,0,6411,3186,3648,4834,700,950,82,87,21.5,9,6717,58
Montreat-Anderson College,Yes,0.847908745,0,316,20,8438,3372,500,2958,42,50,11.1,4,11989,15
Moorhead State University,No,0.886158886,0,5983,1075,4426,2664,600,1000,76,81,18.1,19,4795,60
Moravian College,Yes,0.775162338,0,1241,485,14990,4730,550,1250,86,92,15.2,28,9566,74
Morehouse College,Yes,0.452535059,0,2852,153,7050,5490,250,600,71,74,17.8,10,8122,83
Morningside College,Yes,0.909556314,0,950,228,10520,3678,500,1000,48,68,13,32,8111,56
Morris College,Yes,0.827664399,0,926,12,4515,2550,850,2100,53,60,18.6,34,6990,60
Mount Holyoke College,Yes,0.73,0,1891,40,19300,5700,750,750,79,91,9,51,18359,84
Mount Marty College,Yes,0.989247312,0,600,435,6844,2980,500,500,45,55,11.7,38,5073,44
Mount Mary College,Yes,0.923404255,0,931,487,8950,3119,550,1125,51,51,10.7,26,7016,78
Mount Mercy College,Yes,0.861413043,0,806,542,10500,3555,500,2285,44,50,11.3,30,6695,64
Mount Saint Clare College,Yes,0.873846154,0,364,88,9900,3650,500,1200,32,37,13.6,43,6525,21
Mount Saint Mary's College,Yes,0.877365632,0,1243,79,12850,6200,550,900,77,82,12.8,36,8536,80
Mount Saint Mary College,Yes,0.594017094,0,1170,429,7470,4600,250,1400,74,75,15.3,23,6898,88
Mount St. Mary's College,Yes,0.817351598,0,1039,466,12474,5678,630,1278,53,71,11.9,19,10613,72
Mount Union College,Yes,0.829007634,0,1365,144,12250,3530,400,1150,85,87,16.7,35,7215,81
Mount Vernon Nazarene College,Yes,0.950980392,0,1114,94,7400,3346,600,600,57,57,19.8,7,6869,58
Muhlenberg College,Yes,0.728860659,0,1656,352,16975,4565,600,850,76,86,12.8,39,10888,83
Murray State University,No,0.858426966,0,5968,955,4738,3110,700,940,72,76,20.2,27,5972,52
Muskingum College,Yes,0.831379621,0,1115,70,13240,3914,600,800,73,85,13.4,27,9333,73
National-Louis University,Yes,0.676413255,0,2508,505,9090,4500,650,500,62,65,18.3,2,7905,71
Nazareth College of Rochester,Yes,0.842661035,0,1274,471,10850,5150,550,800,77,93,13.6,24,8797,61
New Jersey Institute of Technology,No,0.647152741,0,3311,1646,8832,5376,700,1850,92,98,13.5,19,12529,72
New Mexico Institute of Mining and Tech.,No,0.763659466,0,1017,411,5376,3214,600,1100,99,100,13.7,11,9241,34
New York University,Yes,0.532882154,1,12408,2814,17748,7262,450,1000,87,98,7.8,16,21227,71
Newberry College,Yes,0.827981651,0,601,36,10194,2600,500,1500,57,63,11.4,32,5788,83
Niagara University,Yes,0.809009009,1,1919,334,10320,4762,450,650,68,100,14.2,20,7788,65
North Adams State College,No,0.642994242,0,1380,136,5542,4330,500,1000,65,71,14.2,17,6562,57
North Carolina A. & T. State University,No,0.642337284,0,6162,871,6806,1780,600,1651,72,72,16.7,9,7090,44
North Carolina State University at Raleigh,No,0.664284371,0,16505,5481,8400,6540,600,1300,92,98,17.5,21,9670,62
North Carolina Wesleyan College,Yes,0.848522167,0,646,84,8242,4230,600,1295,77,77,12.7,11,10090,52
North Central College,Yes,0.784383319,0,1310,766,11718,7398,450,1800,73,87,16.4,33,8871,76
North Dakota State University,No,0.773921833,0,7368,1128,5834,2744,600,2000,79,83,17,24,6310,42
North Park College,Yes,0.776344086,0,879,156,12580,4345,400,970,76,79,13.1,24,10889,74
Northeast Missouri State University,No,0.757781457,0,5640,266,4856,3416,400,1100,69,72,15.7,13,6601,76
Northeastern University,Yes,0.713553483,0,11160,10221,13380,7425,600,1750,73,82,12.9,17,9563,46
Northern Arizona University,No,0.837039552,0,11249,2682,6746,3728,620,2342,78,83,21.7,7,6157,41
Northern Illinois University,No,0.674294788,0,14826,1979,7799,3296,470,1750,73,78,17.3,11,6086,56
Northwest Missouri State University,No,0.928911689,0,4787,472,3735,3136,250,1630,62,65,21.7,23,5284,54
Northwest Nazarene College,Yes,0.834415584,0,1115,60,9840,2820,450,822,59,59,14.8,20,6261,58
Northwestern College,Yes,0.943023256,0,1040,52,9900,3075,300,1800,68,68,14.9,34,6357,68
Northwestern University,Yes,0.423142648,1,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92
Norwich University,Yes,0.932300631,0,1862,382,14134,5270,500,800,71,74,13.1,22,9209,63
Notre Dame College,Yes,0.854881266,0,500,311,9990,4900,400,600,44,47,12.1,26,4948,33
Oakland University,No,0.848733969,0,6441,3982,9114,4030,400,650,88,90,19.7,13,6637,53
Oberlin College,Yes,0.579112599,0,2587,120,19670,5820,575,1119,77,96,10.1,47,16593,83
Occidental College,Yes,0.567555938,1,1686,35,16560,5140,558,1152,91,93,10.5,30,16196,79
Oglethorpe University,Yes,0.819444444,1,769,377,12900,4340,600,4110,91,95,13.1,27,8568,67
Ohio Northern University,Yes,0.797683924,0,2502,66,15990,4080,600,825,73,78,14.5,31,9979,83
Ohio University,No,0.752789622,0,14861,1310,7629,4095,550,2300,79,87,20.4,13,8811,64
Ohio Wesleyan University,Yes,0.776255708,0,1780,48,16732,5650,550,550,93,93,12.1,32,12011,75
Oklahoma Baptist University,Yes,0.898416887,0,1707,705,5390,3140,515,1290,63,71,15.1,18,5511,50
Oklahoma Christian University,Yes,0.985824742,0,1419,228,6400,3150,500,1900,58,64,16.2,8,6578,45
Oklahoma State University,No,0.865325077,0,12830,1658,5336,3344,800,3100,84,92,15.3,14,6433,48
Otterbein College,Yes,0.805481283,0,1648,936,12888,4440,420,840,62,68,13.9,30,8802,87
Ouachita Baptist University,Yes,0.849450549,0,1310,61,6530,2800,500,1500,63,67,13.3,10,6413,65
Our Lady of the Lake University,Yes,0.578856153,0,1202,942,8530,3644,616,1576,56,64,14.9,25,7114,37
Pace University,Yes,0.454215116,0,5809,4379,11000,5160,660,1115,90,95,13.8,10,10059,62
Pacific Lutheran University,Yes,0.868371803,0,2580,302,13312,4488,600,1516,78,78,11,23,9431,83
Pacific Union College,Yes,0.710638298,0,1316,139,11925,3825,630,1926,48,87,12.3,12,9157,69
Pacific University,Yes,0.900318134,0,1041,35,14210,3994,450,1100,76,76,10.9,22,11216,42
Pembroke State University,No,0.819915254,0,2174,529,6360,2760,550,1498,77,77,15,5,6443,48
Pennsylvania State Univ. Main Campus,No,0.535542325,0,28938,2025,10645,4060,512,2394,77,96,18.1,19,8992,63
Pepperdine University,Yes,0.533106517,1,2488,625,18200,6770,500,700,95,98,11.6,13,16185,66
Peru State College,No,0.714693295,0,959,457,2580,2624,500,900,48,100,20.1,24,4870,44
Pfeiffer College,Yes,0.776849642,0,654,162,8640,3700,400,1915,62,62,12.2,13,7634,48
Philadelphia Coll. of Textiles and Sci.,Yes,0.818595579,0,1664,1042,11690,5062,600,1664,48,80,12.9,15,8028,68
Phillips University,Yes,0.832369942,0,597,83,10500,3860,600,940,58,64,11.6,19,8990,39
Piedmont College,Yes,0.847662142,0,641,63,5640,3620,600,750,89,89,13.2,17,7309,31
Pikeville College,Yes,0.99009901,0,797,100,6000,3000,500,500,48,57,13.4,14,5557,61
Pitzer College,Yes,0.556045896,0,750,30,17688,5900,650,850,100,100,10.4,11,14820,73
Point Loma Nazarene College,Yes,0.849196539,0,1889,217,10178,4190,800,750,71,71,16.1,19,7895,54
Point Park College,Yes,0.850285714,0,1173,1402,9700,4830,400,1200,45,90,14.5,10,7652,66
Polytechnic University,Yes,0.748233216,1,1379,214,16200,4200,436,2486,90,90,10.4,14,14329,62
Prairie View A. and M. University,No,0.928898129,0,4564,448,4290,3500,598,1582,55,93,19.4,1,5967,35
Presbyterian College,Yes,0.768946396,0,1133,30,11859,3635,554,1429,80,85,13.4,42,8354,85
Princeton University,Yes,0.154486307,1,4540,146,19900,5910,675,1575,91,96,8.4,54,28320,99
Providence College,Yes,0.651099436,0,3717,1358,14400,6200,450,1100,66,74,18.4,35,8135,96
Purdue University at West Lafayette,No,0.859658778,0,26213,4065,9556,3990,570,1060,86,86,18.2,15,8604,67
Queens College,Yes,0.759689922,0,630,549,11020,4970,610,1900,73,75,14,36,9315,58
Quincy University,Yes,0.689756098,0,1070,72,10100,4140,450,1080,69,71,16.3,32,6880,80
Quinnipiac College,Yes,0.580010776,0,2677,714,12030,6140,1000,500,63,73,12,33,8847,86
Radford University,No,0.858295335,0,8077,472,6684,4110,500,900,73,83,19.6,9,4519,62
Ramapo College of New Jersey,No,0.458333333,0,2745,1938,4449,4860,600,1655,74,95,17.8,8,7333,47
Randolph-Macon College,Yes,0.748164879,0,1071,27,13840,3735,400,900,77,80,10.7,38,11080,74
Randolph-Macon Woman's College,Yes,0.885057471,0,653,56,13970,6110,370,920,88,97,9.2,24,16358,68
Reed College,Yes,0.730417091,0,1199,61,19960,5490,500,450,90,90,11.8,37,15886,68
Regis College,Yes,0.901639344,0,581,533,12700,5800,450,700,81,85,10.3,37,11758,84
Rensselaer Polytechnic Institute,Yes,0.833666934,1,4291,16,17475,5976,1230,1100,94,98,15.4,21,15605,70
Rhodes College,Yes,0.795395308,1,1345,59,15200,4768,550,1500,90,96,10.8,47,13388,77
Rider University,Yes,0.675962075,0,2748,1309,13250,5420,700,3100,84,92,12.3,23,11299,70
Ripon College,Yes,0.853492334,0,735,28,15200,4100,350,650,87,90,9.4,49,12472,64
Rivier College,Yes,0.797520661,0,590,1196,9870,4860,600,1100,59,59,12.2,19,6744,81
Roanoke College,Yes,0.80377189,0,1460,239,13425,4425,450,1200,85,89,13,26,9405,72
Rockhurst College,Yes,0.917647059,0,1127,754,9490,4100,500,1500,60,79,10.7,21,7519,79
Rocky Mountain College,Yes,0.7,0,743,118,8734,3362,600,625,56,78,11.3,27,6422,68
Roger Williams University,Yes,0.848668281,0,2111,1489,12520,6050,500,730,44,54,16.4,8,7957,61
Rollins College,Yes,0.647720878,0,1668,1052,16425,5220,955,750,81,85,13.3,23,11561,90
Rosary College,Yes,0.739631336,0,624,269,10950,4600,550,950,79,82,12.9,30,9264,81
Rowan College of New Jersey,No,0.37460733,0,5303,3942,4356,4830,800,800,76,81,22.1,6,7252,51
Rutgers at New Brunswick,No,0.547469539,0,21401,3712,7410,4748,690,2009,90,95,19.5,19,10474,77
Rutgers State University at Camden,No,0.520499109,0,2585,1300,7411,4748,690,2009,90,95,18.6,12,10134,57
Rutgers State University at Newark,No,0.464995678,0,4005,1886,7410,4748,690,2009,90,95,17.4,16,11878,58
Sacred Heart University,Yes,0.821846554,0,1707,1889,11070,5780,400,600,71,73,14.8,16,7120,82
Saint Ambrose University,Yes,0.800445931,0,1345,390,10450,4020,500,1500,56,56,14.1,16,7444,70
Saint Anselm College,Yes,0.741288783,0,1873,94,12950,5400,450,1120,70,82,14.5,29,6719,97
Saint Cloud State University,No,0.832535885,0,11493,2206,4259,2625,350,1884,70,75,18.9,10,4629,58
Saint Francis College IN,Yes,0.779342723,0,513,247,8670,3820,450,1000,43,78,12.5,4,7440,48
Saint Francis College,Yes,0.787762906,0,1223,451,10880,5050,400,1235,64,64,19.3,24,7344,69
Saint John's University,Yes,0.857449089,0,1691,72,12247,4081,500,600,76,85,12,38,9853,70
Saint Joseph's College IN,Yes,0.743478261,0,815,222,11200,4250,600,950,55,60,14.8,19,7360,67
Saint Joseph's College,Yes,0.818727491,0,716,2196,9985,5180,500,800,53,89,27.2,8,4322,85
Saint Joseph's University,Yes,0.795156808,0,2473,1314,12750,6350,350,1690,84,90,17.4,13,8243,83
Saint Joseph College,Yes,0.825342466,0,543,712,12200,4600,650,950,87,90,11.2,32,8680,76
Saint Louis University,Yes,0.866727383,0,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,67
Saint Mary's College,Yes,0.826576577,0,1433,27,12730,4514,500,1525,74,95,9.9,31,11165,98
Saint Mary's College of Minnesota,Yes,0.915525114,0,1263,118,10800,3600,400,820,68,74,18.8,19,5081,78
Saint Mary-of-the-Woods College,Yes,0.866666667,0,341,768,10300,4130,500,1700,44,58,10.2,37,9678,75
Saint Michael's College,Yes,0.722513089,0,1715,106,13030,5860,500,750,79,88,14.5,34,10190,84
Saint Olaf College,Yes,0.744217082,0,2888,105,14350,3750,550,550,82,88,10,31,12502,83
Saint Peter's College,Yes,0.879825654,0,1921,1154,9408,5520,500,450,78,78,12.1,22,7669,53
Saint Vincent College,Yes,0.85,0,1035,182,10850,3936,500,900,62,64,12.3,31,8534,88
Saint Xavier University,Yes,0.824203822,0,1670,726,10860,4624,600,794,87,100,13.7,15,8953,55
Salem-Teikyo University,Yes,0.785276074,0,700,45,10575,3952,400,620,46,24,13,9,8946,98
Salem College,Yes,0.847761194,0,534,216,10475,6300,500,2000,68,68,11.2,46,9599,60
Salisbury State University,No,0.54316888,0,4296,1027,5130,4690,600,1450,73,75,17.9,18,5125,56
Samford University,Yes,0.830357143,0,2959,402,8236,3700,569,1650,74,75,14.7,17,9533,61
San Diego State University,No,0.746649649,0,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41
Santa Clara University,Yes,0.691465539,0,3891,128,13584,5928,630,1278,88,92,13.9,19,10872,100
Sarah Lawrence College,Yes,0.556521739,1,1000,105,19300,6694,600,700,89,93,6.1,18,14779,83
Savannah Coll. of Art and Design,Yes,0.62037872,0,1897,208,8325,5000,1200,1600,14,98,16.1,26,6874,55
Schreiner College,Yes,0.707191781,0,521,99,8955,5900,500,1488,51,56,11.8,23,8545,52
Scripps College,Yes,0.739181287,1,569,7,17238,7350,600,800,95,100,8.2,41,18372,73
Seattle Pacific University,Yes,0.858833474,0,1922,704,12669,4875,600,1250,83,85,16.8,20,10368,66
Seattle University,Yes,0.728132388,0,2993,347,12825,4375,500,1500,85,85,12.2,16,10175,89
Seton Hall University,Yes,0.779064685,0,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64
Seton Hill College,Yes,0.848290598,0,752,210,11240,4180,350,2000,71,71,11.2,37,10065,71
Shippensburg University of Penn.,No,0.563939498,0,5268,300,7844,3504,450,1700,80,83,18.8,13,6719,72
Shorter College,Yes,0.824074074,0,1115,111,7210,3600,500,2000,62,65,13.2,18,7356,58
Siena College,Yes,0.65248227,0,2669,616,10800,5100,575,1090,71,82,14.1,42,8189,100
Siena Heights College,Yes,0.903017241,0,686,287,9240,3880,475,1090,29,49,7.2,17,9431,47
Simmons College,Yes,0.779661017,0,1144,160,16160,6950,500,1200,74,81,8.9,33,14086,79
Simpson College,Yes,0.858267717,0,1116,602,11250,4980,550,1400,66,73,15.8,36,7411,70
Sioux Falls College,Yes,0.915331808,0,614,271,8990,3064,500,1700,73,73,14.8,7,7881,48
Skidmore College,Yes,0.635453063,0,2322,263,18710,5970,500,700,87,92,12.7,29,14837,81
Smith College,Yes,0.546324786,1,2479,95,18820,6390,500,1050,85,97,10.3,44,21199,90
South Dakota State University,No,0.922337015,0,7000,1103,3811,2190,500,1970,62,65,15,29,5084,67
Southeast Missouri State University,No,0.81981587,0,6553,1246,4680,3540,200,2150,75,76,17.1,8,5916,45
Southeastern Oklahoma State Univ.,No,0.855745721,0,2962,651,3738,2619,450,1022,55,59,19.6,9,4444,53
Southern California College,Yes,0.883116883,0,784,127,9520,4124,630,1818,63,65,18.6,11,8219,43
Southern Illinois University at Edwardsville,No,0.864173228,0,6063,2550,5472,3598,221,2216,76,81,16.5,8,7498,43
Southern Methodist University,Yes,0.803301558,0,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72
Southwest Baptist University,Yes,1,0,1770,967,7070,2500,400,1000,52,54,15.9,13,4718,71
Southwest Missouri State University,No,0.858777378,0,13131,3374,4740,2590,500,1360,70,75,19.9,11,4632,56
Southwest State University,No,0.895893028,0,2091,546,4285,2750,600,1800,58,75,16.5,31,6591,51
Southwestern Adventist College,Yes,0.990654206,0,620,280,7536,3736,430,1651,44,77,13,12,5309,36
Southwestern College,Yes,0.727699531,0,504,147,7200,3532,550,1500,56,56,11.8,12,7818,52
Southwestern University,Yes,0.733118971,0,1177,43,11850,4675,600,1050,83,89,11.3,35,12995,67
Spalding University,Yes,0.71024735,0,589,263,8400,2800,600,900,50,56,10.6,40,6860,89
Spelman College,Yes,0.333153784,0,1971,107,7000,5565,660,2400,73,80,12.5,18,9988,65
Spring Arbor College,Yes,0.97311828,0,1501,353,8600,3550,385,665,48,48,15.4,9,10938,49
St. Bonaventure University,Yes,0.881799866,0,1688,131,10456,4927,500,1050,91,91,17.7,32,9828,78
St. John's College,Yes,0.860681115,0,393,4,16150,5450,275,800,63,72,7.2,26,15622,64
St. John Fisher College,Yes,0.777777778,0,1687,677,10570,5600,400,800,86,81,14.5,29,7908,66
St. Lawrence University,Yes,0.661096985,0,1801,45,18720,5730,650,825,90,94,11.5,38,14980,85
St. Martin's College,Yes,0.863874346,0,494,574,11550,4270,300,500,43,77,14.5,8,9209,40
St. Mary's College of California,Yes,0.60953462,0,2615,248,13332,6354,630,1584,88,89,16.1,17,9619,78
St. Mary's College of Maryland,No,0.518656716,0,1315,209,6800,4730,675,1250,84,89,11.6,23,10357,63
St. Mary's University of San Antonio,Yes,0.820595334,0,2149,418,8678,3858,700,1736,82,83,16.2,7,7651,72
St. Norbert College,Yes,0.931784108,0,1946,95,12140,4450,425,1100,74,78,15.1,36,8595,88
St. Paul's College,Yes,0.892473118,0,617,34,5000,3650,600,600,45,45,14,8,8426,45
